Date,GLD,SPY,TLT,VNQ,XOM
2019-02-07,123.73999786376953,242.28431701660156,99.40958404541016,64.0252456665039,53.58210754394531
2019-02-08,124.20999908447266,242.58029174804688,99.83390808105469,64.0252456665039,53.66917037963867
2019-02-11,123.5999984741211,242.71481323242188,99.4422836303711,64.20028686523438,53.756229400634766
2019-02-12,123.86000061035156,245.83602905273438,99.1893081665039,63.796878814697266,54.6993293762207
2019-02-13,123.37000274658203,246.63418579101562,98.8139419555664,64.12416076660156,55.315956115722656
2019-02-14,124.05999755859375,246.08718872070312,99.37696838378906,64.32965850830078,55.33045959472656
2019-02-15,124.80000305175781,248.768798828125,99.53203582763672,64.76351928710938,56.37510299682617
2019-02-19,126.69999694824219,249.19927978515625,99.78495788574219,64.74828338623047,56.75235366821289
2019-02-20,126.4800033569336,249.70162963867188,99.49938201904297,64.34490966796875,56.96999740600586
2019-02-21,125.05000305175781,248.81369018554688,98.60993957519531,64.40577697753906,56.45491409301758
2019-02-22,125.5,250.35635375976562,99.19744873046875,64.7863540649414,56.890174865722656
2019-02-25,125.37000274658203,250.69711303710938,98.90371704101562,64.2763900756836,56.948219299316406
2019-02-26,125.58000183105469,250.51779174804688,99.39329528808594,64.0785140991211,57.06429672241211
2019-02-27,124.69000244140625,250.41014099121094,98.26728820800781,63.75883483886719,57.65192794799805
2019-02-28,123.98999786376953,249.94374084472656,97.9327392578125,63.92629623413086,57.33271789550781
2019-03-01,121.87999725341797,251.5043182373047,97.02752685546875,63.728397369384766,58.036399841308594
2019-03-04,121.55999755859375,250.58950805664062,97.78800964355469,64.01762390136719,58.261295318603516
2019-03-05,121.72000122070312,250.24862670898438,97.99240112304688,64.19268035888672,58.17424774169922
2019-03-06,121.61000061035156,248.73289489746094,98.3521728515625,63.89583969116211,57.51408004760742
2019-03-07,121.51000213623047,246.6522216796875,98.98999786376953,63.75883483886719,58.15247344970703
2019-03-08,122.83999633789062,246.1588592529297,99.40703582763672,63.82734298706055,57.3182258605957
2019-03-11,122.23999786376953,249.728515625,99.11261749267578,64.76351928710938,57.876800537109375
2019-03-12,122.9800033569336,250.67019653320312,99.80767822265625,65.06034088134766,58.036399841308594
2019-03-13,123.83999633789062,252.32940673828125,99.61958312988281,65.38003540039062,58.55147933959961
2019-03-14,122.41000366210938,252.16807556152344,98.90007019042969,65.47896575927734,58.355613708496094
2019-03-15,122.97000122070312,253.41390991210938,99.55421447753906,65.27347564697266,58.145233154296875
2019-03-18,123.04000091552734,254.33277893066406,99.4969711303711,64.9461669921875,58.81990051269531
2019-03-19,123.37999725341797,254.39576721191406,99.27621459960938,64.74828338623047,58.66755294799805
2019-03-20,124.18000030517578,253.6300048828125,100.31462860107422,64.9461669921875,58.994014739990234
2019-03-21,123.68000030517578,256.4947509765625,100.53543090820312,66.10309600830078,59.33496856689453
2019-03-22,123.97000122070312,251.5581512451172,102.09724426269531,65.62358856201172,58.3846321105957
2019-03-25,124.91999816894531,251.3689422607422,102.2607421875,65.70730590820312,57.978363037109375
2019-03-26,124.30000305175781,253.24261474609375,102.18717956542969,66.23246765136719,58.73283767700195
2019-03-27,123.6500015258789,251.9185028076172,103.12753295898438,66.04218292236328,58.283058166503906
2019-03-28,121.9000015258789,252.873291015625,103.4872817993164,66.68302917480469,58.5732536315918
2019-03-29,122.01000213623047,254.4678192138672,103.38921356201172,66.62171173095703,58.61676788330078
2019-04-01,121.52999877929688,257.4856262207031,101.9206771850586,66.58335876464844,59.291446685791016
2019-04-02,121.9800033569336,257.6117248535156,102.10914611816406,67.05099487304688,59.03752517700195
2019-04-03,121.80000305175781,258.01708984375,101.22406005859375,66.97433471679688,58.68932342529297
2019-04-04,122.11000061035156,258.7017822265625,101.51091003417969,66.86701965332031,59.523582458496094
2019-04-05,121.9800033569336,259.9539794921875,101.64203643798828,67.33460235595703,59.842796325683594
2019-04-08,122.51000213623047,260.152099609375,101.28144073486328,66.958984375,60.212764739990234
2019-04-09,123.1500015258789,258.81884765625,101.60102844238281,66.60638427734375,59.4365348815918
